"Date","70_AGG_IrrigDemand","70_AGG_IrrigSupply","70_AGG_IrrigShortage","70_AGG_IrrigSupDirectFlow","70_AGG_MunDemand","70_AGG_MunSupply","70_AGG_MunShortage","70_ADC049_IrrigDemand","70_ADC049_IrrigDemand_1","70_ADC050_IrrigDemand","70_ADC050_IrrigDemand_1","70_ADC049_IrrigSupply","70_ADC049_IrrigSupply_1","70_ADC050_IrrigSupply","70_ADC050_IrrigSupply_1","70_ADC049_IrrigShortage","70_ADC049_IrrigShortage_1","70_ADC050_IrrigShortage","70_ADC050_IrrigShortage_1","70_ADC049_IrrigSupDirectFlow","70_ADC049_IrrigSupDirectFlow_1","70_ADC050_IrrigSupDirectFlow","70_ADC050_IrrigSupDirectFlow_1","7000583_D_IrrigDemand","7000583_D_IrrigDemand_1","7000583_D_IrrigSupply","7000583_D_IrrigSupply_1","7000583_D_IrrigShortage","7000583_D_IrrigShortage_1","7000583_D_IrrigSupDirectFlow","7000583_D_IrrigSupDirectFlow_1"
"1982-01",404,404,0,404,NA,NA,NA,59,59,42,42,59,59,42,42,0,0,0,0,59,59,42,42,0,0,0,0,0,0,0,0
"1982-02",400,400,0,400,NA,NA,NA,53,53,47,47,53,53,47,47,0,0,0,0,53,53,47,47,0,0,0,0,0,0,0,0
"1982-03",4809.667,412,0,412,NA,NA,NA,2257.8335,59,44,44,59,59,44,44,0,0,0,0,59,59,44,44,0,0,0,0,0,0,0,0
"1982-04",4508,4508.0026,0,4360,NA,NA,NA,810,810,169,169,810,810,169.0006,169.0006,0,0,0,0,810,810,169,169,148,148,148,148,0,0,148,148
"1982-05",27056,27056.0825,0,26702,NA,NA,NA,5781,5781,629,629,5781,5781,629.0206,629.0206,0,0,0,0,5781,5781,629,629,354,354,354,354,0,0,354,354
"1982-06",22675.9999,22573.7074,243.9073,21942.0936,NA,NA,NA,4554,4554,624.9999,624.9999,4493.0234,4493.0234,660.4034,660.4034,60.9768,60.9768,0,0,4493.0234,4493.0234,624.9999,624.9999,490,490,490,490,0,0,490,490
"1982-07",15272.0001,15146.5677,292.8013,14512.1983,NA,NA,NA,2609,2609,742,742,2535.7996,2535.7996,783.8423,783.8423,73.2003,73.2003,0,0,2535.7996,2535.7996,742,742,467,467,467,467,0,0,467,467
"1982-08",11136.0001,10602.8231,673.9589,10014.0411,NA,NA,NA,1718,1718,618,618,1549.5103,1549.5103,653.1955,653.1955,168.4897,168.4897,0,0,1549.5103,1549.5103,618,618,448,448,448,448,0,0,448,448
"1982-09",6216,6216.0332,0,5785,NA,NA,NA,838,838,285,285,838,838,285.0083,285.0083,0,0,0,0,838,838,285,285,431,431,431,431,0,0,431,431
"1982-10",4192.0002,4192.0012,0,4069.0002,NA,NA,NA,783.0001,783.0001,142,142,783.0001,783.0001,142.0002,142.0002,0,0,0,0,783.0001,783.0001,142,142,123,123,123,123,0,0,123,123
"1982-11",1488.0001,1488.0001,0,1471.0001,NA,NA,NA,267,267,88,88,267,267,88,88,0,0,0,0,267,267,88,88,17,17,17,17,0,0,17,17
"1982-12",24,24,0,24,NA,NA,NA,0,0,6,6,0,0,6,6,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0
"1983-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1983-02",12,12,0,12,NA,NA,NA,0,0,3,3,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
"1983-03",12,12,0,12,NA,NA,NA,0,0,3,3,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
"1983-04",1348,1348,0,1340,NA,NA,NA,206,206,123,123,206,206,123,123,0,0,0,0,206,206,123,123,8,8,8,8,0,0,8,8
"1983-05",19056,19056.0322,0,18918,NA,NA,NA,3687,3687,939,939,3687,3687,939.0081,939.0081,0,0,0,0,3687,3687,939,939,138,138,138,138,0,0,138,138
"1983-06",15161.9999,25568.1185,0,25063.9999,NA,NA,NA,0,5203,685,685,5203,5203,685.0297,685.0297,0,0,0,0,5203,5203,685,685,504,504,504,504,0,0,504,504
"1983-07",20876.0007,21027.8108,0,20275.0007,NA,NA,NA,3948.0002,3948.0002,669.9999,669.9999,3948.0002,3948.0002,707.9525,707.9525,0,0,0,0,3948.0002,3948.0002,669.9999,669.9999,601,601,601,601,0,0,601,601
"1983-08",17672.001,16363.4202,1465.7533,15710.2471,NA,NA,NA,3225.0002,3225.0002,697,697,2858.5618,2858.5618,736.2933,736.2933,366.4383,366.4383,0,0,2858.5618,2858.5618,697,697,496,496,496,496,0,0,496,496
"1983-09",14963.9999,10128.2623,4835.8354,9690.164,NA,NA,NA,2887,2887,416,416,1678.041,1678.041,416.0246,416.0246,1208.9589,1208.9589,0,0,1678.041,1678.041,416,416,438,438,438,438,0,0,438,438
"1983-10",8052,8052.002,0,7882,NA,NA,NA,1590,1590,253,253,1590,1590,253.0005,253.0005,0,0,0,0,1590,1590,253,253,170,170,170,170,0,0,170,170
"1983-11",3688.0002,3688.0002,0,3626.0002,NA,NA,NA,714.0001,714.0001,146,146,714.0001,714.0001,146,146,0,0,0,0,714.0001,714.0001,146,146,62,62,62,62,0,0,62,62
"1983-12",992,992,0,992,NA,NA,NA,124,124,124,124,124,124,124,124,0,0,0,0,124,124,124,124,0,0,0,0,0,0,0,0
"1984-01",992,992,0,992,NA,NA,NA,124,124,124,124,124,124,124,124,0,0,0,0,124,124,124,124,0,0,0,0,0,0,0,0
"1984-02",928,928,0,928,NA,NA,NA,116,116,116,116,116,116,116,116,0,0,0,0,116,116,116,116,0,0,0,0,0,0,0,0
"1984-03",11478,992,0,992,NA,NA,NA,5367,124,124,124,124,124,124,124,0,0,0,0,124,124,124,124,0,0,0,0,0,0,0,0
"1984-04",2024,2516.001,0,2449.0001,NA,NA,NA,8,254,308,308,254,254,308.0002,308.0002,0,0,0,0,254,254,308,308,67,67,67,67,0,0,67,67
"1984-05",21223.999,21224.1123,0,20754.999,NA,NA,NA,3615.9998,3615.9998,1221,1221,3615.9998,3615.9998,1221.0283,1221.0283,0,0,0,0,3615.9998,3615.9998,1221,1221,469,469,469,469,0,0,469,469
"1984-06",26020.0005,26020.1016,0,25567.0005,NA,NA,NA,4969,4969,1083.0001,1083.0001,4969,4969,1083.0254,1083.0254,0,0,0,0,4969,4969,1083.0001,1083.0001,453,453,453,453,0,0,453,453
"1984-07",18920,18920.231,0,18369,NA,NA,NA,3257,3257,922,922,3257,3257,922.0577,922.0577,0,0,0,0,3257,3257,922,922,551,551,551,551,0,0,551,551
"1984-08",19599.9998,17510.1768,2090,17092.9998,NA,NA,NA,3462,3462,1020.9999,1020.9999,2939.5,2939.5,1021.0442,1021.0442,522.5,522.5,0,0,2939.5,2939.5,1020.9999,1020.9999,417,417,417,417,0,0,417,417
"1984-09",12180,11856.582,323.513,11425.4868,NA,NA,NA,2037,2037,577,577,1956.1217,1956.1217,577.0238,577.0238,80.8783,80.8783,0,0,1956.1217,1956.1217,577,577,431,431,431,431,0,0,431,431
"1984-10",9667.9998,9667.9998,0,9490.9998,NA,NA,NA,1667,1667,572.9999,572.9999,1667,1667,572.9999,572.9999,0,0,0,0,1667,1667,572.9999,572.9999,177,177,177,177,0,0,177,177
"1984-11",6816,6816,0,6708,NA,NA,NA,1363,1363,233,233,1363,1363,233,233,0,0,0,0,1363,1363,233,233,108,108,108,108,0,0,108,108
"1984-12",1264.0001,1264.0001,0,1264.0001,NA,NA,NA,316,316,0,0,316,316,0,0,0,0,0,0,316,316,0,0,0,0,0,0,0,0,0,0
"1985-01",816,816,0,816,NA,NA,NA,204,204,0,0,204,204,0,0,0,0,0,0,204,204,0,0,0,0,0,0,0,0,0,0
"1985-02",736,736,0,736,NA,NA,NA,184,184,0,0,184,184,0,0,0,0,0,0,184,184,0,0,0,0,0,0,0,0,0,0
"1985-03",816,816,0,816,NA,NA,NA,204,204,0,0,204,204,0,0,0,0,0,0,204,204,0,0,0,0,0,0,0,0,0,0
"1985-04",6864,6864.0071,0,6771,NA,NA,NA,807.0001,807.0001,815.9999,815.9999,807.0001,807.0001,816.0017,816.0017,0,0,0,0,807.0001,807.0001,815.9999,815.9999,93,93,93,93,0,0,93,93
"1985-05",15160.0001,15160.0934,0,14775.0001,NA,NA,NA,2440,2440,965,965,2440,2440,965.0233,965.0233,0,0,0,0,2440,2440,965,965,385,385,385,385,0,0,385,385
"1985-06",23776.0001,23901.2638,0,23271.0001,NA,NA,NA,4743,4743,696,696,4743,4743,727.3159,727.3159,0,0,0,0,4743,4743,696,696,505,505,505,505,0,0,505,505
"1985-07",22424,22134.7964,289.3833,21663.6162,NA,NA,NA,3775,3775,1360,1360,3702.6541,3702.6541,1360.045,1360.045,72.3458,72.3458,0,0,3702.6541,3702.6541,1360,1360,471,471,471,471,0,0,471,471
"1985-08",18279.9995,14873.6997,3406.4954,14390.2378,NA,NA,NA,2941,2941,1145.9999,1145.9999,2089.3762,2089.3762,1146.0487,1146.0487,851.6238,851.6238,0,0,2089.3096,2089.3096,1145.9999,1145.9999,483,483,483,483,0,0,483,483
"1985-09",11580,11580.0437,0,11153,NA,NA,NA,1673,1673,795,795,1673,1673,795.0109,795.0109,0,0,0,0,1673,1673,795,795,427,427,427,427,0,0,427,427
"1985-10",5639.9999,5640.0005,0,5559.9999,NA,NA,NA,1165,1165,165,165,1165,1165,165.0001,165.0001,0,0,0,0,1165,1165,165,165,80,80,80,80,0,0,80,80
"1985-11",1964,1964,0,1964,NA,NA,NA,491,491,0,0,491,491,0,0,0,0,0,0,491,491,0,0,0,0,0,0,0,0,0,0
"1985-12",1696,1696,0,1696,NA,NA,NA,424,424,0,0,424,424,0,0,0,0,0,0,424,424,0,0,0,0,0,0,0,0,0,0
"1986-01",1696,1696,0,1696,NA,NA,NA,424,424,0,0,424,424,0,0,0,0,0,0,424,424,0,0,0,0,0,0,0,0,0,0
"1986-02",1532,1532,0,1532,NA,NA,NA,383,383,0,0,383,383,0,0,0,0,0,0,383,383,0,0,0,0,0,0,0,0,0,0
"1986-03",2008,2008,0,2008,NA,NA,NA,474,474,28,28,474,474,28,28,0,0,0,0,474,474,28,28,0,0,0,0,0,0,0,0
"1986-04",9280,9280.0029,0,9213,NA,NA,NA,1172,1172,1081,1081,1172,1172,1081.0007,1081.0007,0,0,0,0,1172,1172,1081,1081,67,67,67,67,0,0,67,67
"1986-05",23048,23048.0933,0,22589,NA,NA,NA,3927,3927,1376,1376,3927,3927,1376.0233,1376.0233,0,0,0,0,3927,3927,1376,1376,459,459,459,459,0,0,459,459
"1986-06",26927.9998,26928.2366,0,26347.9998,NA,NA,NA,5046,5046,1106,1106,5046,5046,1106.0592,1106.0592,0,0,0,0,5046,5046,1106,1106,579.9999,579.9999,579.9999,579.9999,0,0,579.9999,579.9999
"1986-07",20820,20820.1548,0,20335,NA,NA,NA,3618,3618,1102,1102,3618,3618,1102.0387,1102.0387,0,0,0,0,3618,3618,1102,1102,485,485,485,485,0,0,485,485
"1986-08",18928,16628.8174,2299.3044,16173.6963,NA,NA,NA,3561,3561,716,716,2986.1741,2986.1741,716.0303,716.0303,574.8261,574.8261,0,0,2986.1741,2986.1741,716,716,455,455,455,455,0,0,455,455
"1986-09",15748.0007,11482.4055,4265.6255,11157.3743,NA,NA,NA,2781.0002,2781.0002,830.9999,830.9999,1714.5936,1714.5936,831.0078,831.0078,1066.4064,1066.4064,0,0,1714.5936,1714.5936,830.9999,830.9999,325,325,325,325,0,0,325,325
"1986-10",7888.0001,7888.0067,0,7757.0001,NA,NA,NA,1711,1711,130,130,1711,1711,130.0017,130.0017,0,0,0,0,1711,1711,130,130,131,131,131,131,0,0,131,131
"1986-11",4960.0001,5072,0,4983,NA,NA,NA,993.0001,1049,130,130,1049,1049,130,130,0,0,0,0,1049,1049,130,130,89,89,89,89,0,0,89,89
"1986-12",3800,3800,0,3782,NA,NA,NA,871,871,61,61,871,871,61,61,0,0,0,0,871,871,61,61,18,18,18,18,0,0,18,18
"1987-01",3068.0002,3068.0002,0,3068.0002,NA,NA,NA,706.0001,706.0001,61,61,706.0001,706.0001,61,61,0,0,0,0,706.0001,706.0001,61,61,0,0,0,0,0,0,0,0
"1987-02",2432,2432,0,2432,NA,NA,NA,552,552,56,56,552,552,56,56,0,0,0,0,552,552,56,56,0,0,0,0,0,0,0,0
"1987-03",2196,2196,0,2196,NA,NA,NA,488,488,61,61,488,488,61,61,0,0,0,0,488,488,61,61,0,0,0,0,0,0,0,0
"1987-04",9256,9256.0295,0,9028,NA,NA,NA,1640,1640,446,446,1640,1640,446.0074,446.0074,0,0,0,0,1640,1640,446,446,228,228,228,228,0,0,228,228
"1987-05",26928.002,26928.1006,0,26541.002,NA,NA,NA,5090.0005,5090.0005,1255,1255,5090.0005,5090.0005,1255.0247,1255.0247,0,0,0,0,5090.0005,5090.0005,1255,1255,387,387,387,387,0,0,387,387
"1987-06",24856.0001,17031.6932,7847.5898,16518.4112,NA,NA,NA,5002,5002,722,722,3040.1028,3040.1028,727.8205,727.8205,1961.8975,1961.8975,0,0,3040.1028,3040.1028,722,722,490,490,490,490,0,0,490,490
"1987-07",18843.9998,11693.377,7300.167,11051.8328,NA,NA,NA,3559,3559,659.9999,659.9999,1733.9583,1733.9583,697.386,697.386,1825.0417,1825.0417,0,0,1733.9583,1733.9583,659.9999,659.9999,492,492,492,492,0,0,492,492
"1987-08",14788.001,9540.675,5247.4507,9169.5498,NA,NA,NA,2737.0002,2737.0002,589,589,1425.1375,1425.1375,589.0313,589.0313,1311.8627,1311.8627,0,0,1425.1375,1425.1375,589,589,371,371,371,371,0,0,371,371
"1987-09",18936.0002,6729.3973,6170.711,5274.7481,NA,NA,NA,2185,5203,548.0001,548.0001,658.2822,658.2822,548.0272,548.0272,1526.7178,1526.7178,0,0,413.657,413.657,548.0001,548.0001,492,492,476.04,476.04,15.96,15.96,476.04,476.04
"1987-10",12864,7175.21,5688.8198,6795.1804,NA,NA,NA,2256,2256,580,580,833.7951,833.7951,580.0074,580.0074,1422.205,1422.205,0,0,833.7951,833.7951,580,580,380,380,380,380,0,0,380,380
"1987-11",6620,6517.3779,102.622,6453.3779,NA,NA,NA,1292,1292,299,299,1266.3445,1266.3445,299,299,25.6555,25.6555,0,0,1266.3445,1266.3445,299,299,64,64,64,64,0,0,64,64
"1987-12",676,860,0,860,NA,NA,NA,92,0,123,123,92,92,123,123,0,0,0,0,92,92,123,123,0,0,0,0,0,0,0,0
"1988-01",600,600,0,600,NA,NA,NA,27,27,123,123,27,27,123,123,0,0,0,0,27,27,123,123,0,0,0,0,0,0,0,0
"1988-02",460,460,0,460,NA,NA,NA,0,0,115,115,0,0,115,115,0,0,0,0,0,0,115,115,0,0,0,0,0,0,0,0
"1988-03",727.9999,727.9999,0,727.9999,NA,NA,NA,0,0,182,182,0,0,182,182,0,0,0,0,0,0,182,182,0,0,0,0,0,0,0,0
"1988-04",8768,8768.0148,0,8604,NA,NA,NA,1570,1570,458,458,1570,1570,458.0037,458.0037,0,0,0,0,1570,1570,458,458,164,164,164,164,0,0,164,164
"1988-05",22563.9999,22564.1097,0,22054.9999,NA,NA,NA,4457,4457,675,675,4457,4457,675.0275,675.0275,0,0,0,0,4457,4457,675,675,509,509,509,509,0,0,509,509
"1988-06",18937.9998,14819.823,7976.1475,14060.8514,NA,NA,NA,2483,4328,738,738,2333.9629,2333.9629,779.9929,779.9929,1994.0369,1994.0369,0,0,2333.9629,2333.9629,738,738,590.9999,590.9999,590.9999,590.9999,0,0,590.9999,590.9999
"1988-07",15167.9998,14465.8777,885.6545,13715.3465,NA,NA,NA,2415,2415,810,810,2193.5867,2193.5867,855.8828,855.8828,221.4136,221.4136,0,0,2193.5867,2193.5867,810,810,566.9999,566.9999,566.9999,566.9999,0,0,566.9999,566.9999
"1988-08",10232.0006,9265.9694,1088.3851,8612.3375,NA,NA,NA,1551.0001,1551.0001,540,540,1278.9037,1278.9037,570.5886,570.5886,272.0963,272.0963,0,0,1262.8344,1262.8344,540,540,467,467,467,467,0,0,467,467
"1988-09",7228,6456.4714,771.6097,6094.3904,NA,NA,NA,1123,1123,322,322,930.0976,930.0976,322.0203,322.0203,192.9024,192.9024,0,0,930.0976,930.0976,322,322,362,362,362,362,0,0,362,362
"1988-10",20698.9333,14250.7214,16657.3541,13543.528,NA,NA,NA,5367,262.4667,1480,1480,1375.5437,1375.5437,1480.0189,1480.0189,3991.4563,3991.4563,0,0,1375.5437,1375.5437,1480,1480,880,880,707.1177,707.1177,172.8822,172.8822,707.1177,707.1177
"1988-11",3718.1292,4868.0002,0,4808.0002,NA,NA,NA,993.0001,418.0645,164,164,993.0001,993.0001,164,164,0,0,0,0,993.0001,993.0001,164,164,60,60,60,60,0,0,60,60
"1988-12",740,740,0,740,NA,NA,NA,154,154,31,31,154,154,31,31,0,0,0,0,154,154,31,31,0,0,0,0,0,0,0,0
"1989-01",740,740,0,740,NA,NA,NA,154,154,31,31,154,154,31,31,0,0,0,0,154,154,31,31,0,0,0,0,0,0,0,0
"1989-02",668,668,0,668,NA,NA,NA,139,139,28,28,139,139,28,28,0,0,0,0,139,139,28,28,0,0,0,0,0,0,0,0
"1989-03",10816.5332,2772.001,0,2729,NA,NA,NA,450,4472.2666,200,200,450,450,200.0003,200.0003,0,0,0,0,450,450,200,200,43,43,43,43,0,0,43,43
"1989-04",12816.7091,11141.7065,4622.3667,10791.6328,NA,NA,NA,2483,1009.3548,1107.9999,1107.9999,1327.4083,1327.4083,1108.0183,1108.0183,1155.5917,1155.5917,0,0,1327.4083,1327.4083,1107.9999,1107.9999,350,350,350,350,0,0,350,350
"1989-05",23804,12882.208,10921.96,12236.041,NA,NA,NA,4280,4280,1025,1025,1549.5103,1549.5103,1025.0417,1025.0417,2730.49,2730.49,0,0,1549.5103,1549.5103,1025,1025,646,646,646,646,0,0,646,646
"1989-06",18036,10206.0634,7989.9772,8705.0375,NA,NA,NA,3276,3276,703,703,1332.4655,1332.4655,743.0104,743.0104,1943.5343,1943.5343,0,0,1116.2294,1116.2294,703,703,530,530,476.04,476.04,53.96,53.96,476.04,476.04
"1989-07",16116,13575.26,2730.7676,12777.2456,NA,NA,NA,2608,2608,842,842,1925.3081,1925.3081,889.5069,889.5069,682.6919,682.6919,0,0,1918.0614,1918.0614,842,842,579,579,579,579,0,0,579,579
"1989-08",6662,6611.9578,2821.6345,4936.105,NA,NA,NA,120,1449,498,498,743.5914,743.5914,526.3981,526.3981,705.4086,705.4086,0,0,448.7762,448.7762,498,498,383,383,383,383,0,0,383,383
"1989-09",8888,3352.0999,5536,2906,NA,NA,NA,1384,1384,392,392,0,0,392.025,392.025,1384,1384,0,0,0,0,392,392,446,446,446,446,0,0,446,446
"1989-10",6868.0001,6348.1614,519.8535,6088.1466,NA,NA,NA,1167,1167,290,290,1037.0366,1037.0366,290.0037,290.0037,129.9634,129.9634,0,0,1037.0366,1037.0366,290,290,260,260,260,260,0,0,260,260
"1989-11",2496,2421.2954,74.7046,2369.2954,NA,NA,NA,426,426,146,146,407.3239,407.3239,146,146,18.6761,18.6761,0,0,407.3239,407.3239,146,146,52,52,52,52,0,0,52,52
"1989-12",2352.3333,660,0,660,NA,NA,NA,120,966.1666,45,45,120,120,45,45,0,0,0,0,120,120,45,45,0,0,0,0,0,0,0,0
"1990-01",452,356,0,452,NA,NA,NA,92,92,21,21,44,92,21,21,0,0,0,0,92,92,21,21,0,0,0,0,0,0,0,0
"1990-02",508,508,0,508,NA,NA,NA,98,98,29,29,98,98,29,29,0,0,0,0,98,98,29,29,0,0,0,0,0,0,0,0
"1990-03",2288,2288,0,2288,NA,NA,NA,458,458,114,114,458,458,114,114,0,0,0,0,458,458,114,114,0,0,0,0,0,0,0,0
"1990-04",3208,3652.0051,0,3003,NA,NA,NA,391,391,206,206,613,391,206.0013,206.0013,0,0,0,0,391,391,206,206,205,205,205,205,0,0,205,205
"1990-05",17460.0004,11166.121,10700,4395.0003,NA,NA,NA,3147,3147,741.0001,741.0001,2675,472,741.0302,741.0302,2675,2675,0,0,0,0,741.0001,741.0001,477,477,477,477,0,0,477,477
"1990-06",20608.0002,5499.4488,15290.6475,4656.1203,NA,NA,NA,3740,3740,807.0001,807.0001,46.298,46.298,852.5242,852.5242,3693.7019,3693.7019,0,0,0,0,807.0001,807.0001,605,605,476.04,476.04,128.96,128.96,476.04,476.04
"1990-07",8144.9333,8220.2104,3902.2361,7652.7642,NA,NA,NA,1930,14.4667,643,643,954.441,954.441,679.6116,679.6116,975.559,975.559,0,0,954.441,954.441,643,643,421,421,421,421,0,0,421,421
"1990-08",8499.9995,3322.7935,5279.9995,2872,NA,NA,NA,1319.9999,1319.9999,457,457,0,0,482.6983,482.6983,1319.9999,1319.9999,0,0,0,0,457,457,348,348,348,348,0,0,348,348
"1990-09",10456.0001,3552.8252,6903.2921,3124.5311,NA,NA,NA,1623,1623,460,460,0,0,460.0293,460.0293,1623,1623,0,0,0,0,460,460,531,531,428.177,428.177,102.823,102.823,428.177,428.177
"1990-10",3036.0001,6362.8386,0,2836.0001,NA,NA,NA,467,467,92,92,2130.4175,467,92.0009,92.0009,0,0,0,0,467,467,92,92,200,200,200,200,0,0,200,200
"1990-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1990-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1991-01",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1991-02",8,4,0,8,NA,NA,NA,2,2,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
"1991-03",788,788,0,788,NA,NA,NA,120,120,77,77,120,120,77,77,0,0,0,0,120,120,77,77,0,0,0,0,0,0,0,0
"1991-04",2652,2652.0021,0,2610,NA,NA,NA,456,456,165,165,456,456,165.0005,165.0005,0,0,0,0,456,456,165,165,42,42,42,42,0,0,42,42
"1991-05",17630.0005,13076.6538,4819.4668,12576.5331,NA,NA,NA,3100,3233,741.0001,741.0001,2028.1332,2028.1332,741.0302,741.0302,1204.8667,1204.8667,0,0,2028.1332,2028.1332,741.0001,741.0001,500.0001,500.0001,500.0001,500.0001,0,0,500.0001,500.0001
"1991-06",10561.9354,10643.1166,6001.896,10013.1044,NA,NA,NA,3000,30.9677,640,640,1499.5261,1499.5261,676.2531,676.2531,1500.474,1500.474,0,0,1499.5261,1499.5261,640,640,485,485,485,485,0,0,485,485
"1991-07",11971.9998,11637.1758,484.3683,11074.6316,NA,NA,NA,1920,1920,659.9999,659.9999,1798.908,1798.908,697.386,697.386,121.0921,121.0921,0,0,1798.908,1798.908,659.9999,659.9999,413,413,413,413,0,0,413,413
"1991-08",10275.9998,8986.127,1417.5903,8025.281,NA,NA,NA,1589,1589,566.9999,566.9999,1234.6024,1234.6024,598.9293,598.9293,354.3976,354.3976,0,0,1129.5703,1129.5703,566.9999,566.9999,413,413,413,413,0,0,413,413
"1991-09",6280.0004,5289.5552,990.5157,4974.4845,NA,NA,NA,977.0001,977.0001,278,278,729.3711,729.3711,278.0177,278.0177,247.6289,247.6289,0,0,729.3711,729.3711,278,278,315,315,315,315,0,0,315,315
"1991-10",3172,3172.0061,0,3032,NA,NA,NA,533,533,120,120,533,533,120.0015,120.0015,0,0,0,0,533,533,120,120,140,140,140,140,0,0,140,140
"1991-11",200,64,0,64,NA,NA,NA,84,16,0,0,16,16,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0
"1991-12",10,0,0,0,NA,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1992-01",124,124,0,124,NA,NA,NA,31,31,0,0,31,31,0,0,0,0,0,0,31,31,0,0,0,0,0,0,0,0,0,0
"1992-02",128,128,0,128,NA,NA,NA,29,29,3,3,29,29,3,3,0,0,0,0,29,29,3,3,0,0,0,0,0,0,0,0
"1992-03",1056,756.0005,0,1042,NA,NA,NA,150,150,100,100,0,150,100.0001,100.0001,0,0,0,0,150,150,100,100,14,14,14,14,0,0,14,14
"1992-04",11140.0005,6428.6653,4711.3867,6170.6138,NA,NA,NA,1750.0001,1750.0001,777,777,572.1534,572.1534,777.0129,777.0129,1177.8467,1177.8467,0,0,572.1534,572.1534,777,777,258,258,258,258,0,0,258,258
"1992-05",9203.9999,9204.0651,0,8902.9999,NA,NA,NA,1600,1600,400,400,1600,1600,400.0163,400.0163,0,0,0,0,1600,1600,400,400,301,301,301,301,0,0,301,301
"1992-06",16768.0001,10073.6771,6839.3347,9232.6962,NA,NA,NA,3052,3052,640,640,1366.1262,1366.1262,676.2531,676.2531,1685.8737,1685.8737,0,0,1311.144,1311.144,640,640,500,500,476.04,476.04,23.96,23.96,476.04,476.04
"1992-07",8591.9995,8685.7299,0,8215.9995,NA,NA,NA,1354.9999,1354.9999,417,417,1354.9999,1354.9999,440.4326,440.4326,0,0,0,0,1354.9999,1354.9999,417,417,376,376,376,376,0,0,376,376
"1992-08",6311.0667,6894.9695,2310.0911,4790.1938,NA,NA,NA,1409,16.5333,478,478,831.4772,831.4772,505.2651,505.2651,577.5228,577.5228,0,0,429.2985,429.2985,478,478,387,387,387,387,0,0,387,387
"1992-09",2212,2212.0107,0,1985,NA,NA,NA,271,271,55,55,271,271,55.0027,55.0027,0,0,0,0,271,271,55,55,227,227,227,227,0,0,227,227
"1992-10",1752,1175.9459,576.0555,1006.9444,NA,NA,NA,202,202,67,67,57.9861,57.9861,67.0004,67.0004,144.0139,144.0139,0,0,57.9861,57.9861,67,67,169,169,169,169,0,0,169,169
"1992-11",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1992-12",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1993-01",968.8238,0,0,0,NA,NA,NA,456.7333,0,27.6786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1993-02",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1993-03",0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1993-04",3391.9998,3392.0028,0,3349.9998,NA,NA,NA,711.9999,711.9999,94,94,711.9999,711.9999,94.0008,94.0008,0,0,0,0,711.9999,711.9999,94,94,42,42,42,42,0,0,42,42
"1993-05",27111.9981,27112.0501,0.0019,26903.9961,NA,NA,NA,5789.9995,5789.9995,780,780,5789.999,5789.999,780.0135,780.0135,5e-04,5e-04,0,0,5789.999,5789.999,780,780,208,208,208,208,0,0,208,208
"1993-06",27084.0001,27128.8378,0,26584.0001,NA,NA,NA,5617,5617,654,654,5617,5617,665.2094,665.2094,0,0,0,0,5617,5617,654,654,500,500,500,500,0,0,500,500
"1993-07",20816.0005,20994.1682,0,20316.0004,NA,NA,NA,3921,3921,783.0001,783.0001,3921,3921,827.542,827.542,0,0,0,0,3921,3921,783.0001,783.0001,500.0001,500.0001,500.0001,500.0001,0,0,500.0001,500.0001
"1993-08",11069.9996,11988.1046,4640.0566,11596.943,NA,NA,NA,2778.9998,0,987.0001,987.0001,1618.9857,1618.9857,987.0405,987.0405,1160.0142,1160.0142,0,0,1618.9857,1618.9857,987.0001,987.0001,391,391,391,391,0,0,391,391
